City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tazacorte,28.629,-17.9293,16.54,77,40,4.63,ES,1705731538
1,fale old settlement,-9.3852,-171.2468,29.28,71,69,5.34,TK,1705731544
2,as sulayyil,20.4607,45.5779,17.14,32,22,5.28,SA,1705731547
3,mount pearl,47.5166,-52.7813,-3.25,84,100,3.09,CA,1705731553
4,howard springs,-12.497,131.047,30.49,79,100,7.13,AU,1705731554
5,sao felix do xingu,-6.6447,-51.995,22.31,92,36,0.81,BR,1705731557
6,petropavlovsk-kamchatsky,53.0452,158.6483,-2.53,95,100,3.13,RU,1705731558
7,pierre,44.3683,-100.351,-20.49,84,0,0.0,US,1705731561
8,edinburgh of the seven seas,-37.0676,-12.3116,15.86,68,42,5.19,SH,1705731563
9,port-aux-francais,-49.35,70.2167,6.02,76,92,12.81,TF,1705731569
10,grytviken,-54.2811,-36.5092,5.57,95,100,5.13,GS,1705731311
11,west island,-12.1568,96.8225,28.99,79,6,5.14,CC,1705731575
12,nema,57.5067,50.5011,-1.98,98,100,2.67,RU,1705731578
13,bilibino,68.0546,166.4372,-14.82,98,100,1.19,RU,1705731581
14,invercargill,-46.4,168.35,18.34,77,52,7.15,NZ,1705731397
15,san andres,12.5847,-81.7006,28.01,83,20,5.66,CO,1705731586
16,blackmans bay,-43.0167,147.3167,22.51,47,100,1.98,AU,1705731590
17,constantia,44.1833,28.65,0.39,81,100,9.87,RO,1705731388
18,tiksi,71.6872,128.8694,-31.66,94,100,4.67,RU,1705731593
19,rajin,42.2489,130.3003,-6.65,51,100,2.46,KP,1705731594
20,wisconsin rapids,44.3836,-89.8174,-13.84,82,0,3.09,US,1705731596
21,shenjiamen,29.9576,122.298,7.32,88,100,12.26,CN,1705731598
22,pariaman,-0.619,100.12,31.03,81,96,1.45,ID,1705731599
23,punta arenas,-53.15,-70.9167,9.06,81,0,16.46,CL,1705731602
24,christchurch,-43.5333,172.6333,30.23,23,6,6.17,NZ,1705731230
25,albany,42.6001,-73.9662,-10.99,65,100,6.71,US,1705731608
26,avarua,-21.2078,-159.775,26.03,78,20,2.06,CK,1705731612
27,prado,-17.3411,-39.2208,24.77,90,96,4.17,BR,1705731617
28,adamstown,-25.066,-130.1015,24.26,81,43,6.92,PN,1705731619
29,aasiaat,68.7098,-52.8699,-13.4,76,100,10.01,GL,1705731621
30,milas,37.3164,27.7839,12.64,94,40,1.03,TR,1705731622
31,andovoranto,-18.95,49.1,24.35,93,100,3.18,MG,1705731624
32,ribeira grande,38.5167,-28.7,17.1,92,85,4.47,PT,1705731627
33,iskateley,67.6803,53.1512,-12.21,93,99,7.15,RU,1705731633
34,miedzyrzecz,52.4446,15.578,-1.96,87,98,7.19,PL,1705731475
35,grand gaube,-20.0064,57.6608,29.65,74,35,0.45,MU,1705731636
36,enoch,37.7733,-113.0244,5.08,59,0,2.57,US,1705731640
37,egilsstadir,65.2653,-14.3948,-3.05,100,100,6.17,IS,1705731645
38,new norfolk,-42.7826,147.0587,23.17,32,100,0.37,AU,1705731648
39,san patricio,28.017,-97.5169,6.05,38,0,6.02,US,1705731650
40,aydarken,39.9443,71.3429,0.98,52,5,2.33,KG,1705731654
41,papatowai,-46.5619,169.4708,18.6,65,26,5.87,NZ,1705731657
42,port elizabeth,-33.918,25.5701,22.83,76,0,5.14,ZA,1705731659
43,ciudad guayana,8.3533,-62.6528,24.73,89,6,2.3,VE,1705731662
44,port mathurin,-19.6833,63.4167,27.72,76,69,4.08,MU,1705731665
45,botelhos,-21.6333,-46.395,19.1,96,100,1.8,BR,1705731666
46,ust-nera,64.5667,143.2,-41.56,97,83,0.62,RU,1705731667
47,nemuro,43.3236,145.575,-4.12,53,70,6.28,JP,1705731669
48,waitangi,-43.9535,-176.5597,18.23,95,57,11.06,NZ,1705731671
49,tura,25.5198,90.2201,22.62,37,0,1.74,IN,1705731672
50,geraldton,-28.7667,114.6,28.23,57,4,7.72,AU,1705731572
51,umba,66.6871,34.3429,-15.62,94,99,3.11,RU,1705731675
52,utrik,11.2278,169.8474,26.24,80,100,9.81,MH,1705731676
53,saint-pierre,-21.3393,55.4781,28.82,79,0,4.63,RE,1705731678
54,antalaha,-14.9003,50.2788,29.61,69,98,0.35,MG,1705731679
55,enewetak,11.3474,162.3373,26.37,66,77,10.74,MH,1705731680
56,toropets,56.4978,31.6353,-10.41,98,95,1.35,RU,1705731682
57,anadyr,64.75,177.4833,-6.72,92,40,2.0,RU,1705731684
58,yuzhno-kurilsk,44.0306,145.8556,-5.35,56,93,5.91,RU,1705731686
59,hilo,19.7297,-155.09,22.85,90,100,0.45,US,1705731687
60,saudarkrokur,65.7461,-19.6394,-3.26,81,100,2.83,IS,1705731689
61,choyr,46.3611,108.3611,-16.46,85,100,2.71,MN,1705731691
62,princeville,45.7668,-61.2985,-4.77,85,100,2.06,CA,1705731692
63,iwanai,42.9744,140.5089,-2.11,67,100,1.69,JP,1705731595
64,glace bay,46.1969,-59.957,-4.46,82,100,2.57,CA,1705731695
65,necochea,-38.5473,-58.7368,14.35,75,0,0.8,AR,1705731697
66,atbasar,51.8,68.3333,-21.07,99,58,0.33,KZ,1705731699
67,sitka,57.0531,-135.33,3.94,60,100,4.12,US,1705731700
68,puerto aysen,-45.4,-72.7,6.65,97,28,1.42,CL,1705731702
69,argostolion,38.1811,20.489,15.04,71,40,2.57,GR,1705731704
70,kailua-kona,19.6406,-155.9956,24.98,92,0,1.54,US,1705731705
71,sao jose da coroa grande,-8.8978,-35.1478,25.86,86,41,3.79,BR,1705731707
72,umm kaddadah,13.6017,26.6876,14.51,22,2,5.29,SD,1705731708
73,saipan,15.1355,145.701,27.39,65,40,9.77,MP,1705731312
74,tsiombe,-25.3,45.4833,26.15,74,96,6.57,MG,1705731711
75,vadso,70.0744,29.7487,-6.91,73,100,5.14,NO,1705731713
76,pangkalpinang,-2.1333,106.1333,30.8,62,92,3.1,ID,1705731699
77,ust-tsilma,65.441,52.1498,-10.77,88,95,4.47,RU,1705731715
78,port alfred,-33.5906,26.891,21.21,76,6,3.58,ZA,1705731717
79,iqaluit,63.7506,-68.5145,-19.15,71,75,1.54,CA,1705731608
80,kamina,-8.7386,24.9906,19.32,95,100,1.04,CD,1705731720
81,carutapera,-1.195,-46.02,25.14,91,20,2.83,BR,1705731722
82,punta alta,-38.8759,-62.0736,18.49,69,0,5.7,AR,1705731723
83,tazovsky,67.4667,78.7,-13.8,93,100,11.85,RU,1705731725
84,ancud,-41.8697,-73.8203,9.24,82,0,2.43,CL,1705731726
85,bredasdorp,-34.5322,20.0403,24.83,49,0,1.17,ZA,1705731729
86,kingston,17.997,-76.7936,24.53,84,20,1.54,JM,1705731731
87,san julian,21.0167,-102.1667,14.18,22,100,3.44,MX,1705731726
88,thief river falls,48.1191,-96.1812,-24.47,76,0,0.91,US,1705731733
89,college,64.8569,-147.8028,-25.51,79,20,0.0,US,1705731735
90,medina,24.4686,39.6142,18.24,32,0,5.14,SA,1705731600
91,ushuaia,-54.8,-68.3,5.81,87,100,5.14,AR,1705731738
92,yellowknife,62.456,-114.3525,-25.25,84,75,1.54,CA,1705731739
93,shingu,33.7333,135.9833,12.85,92,100,7.83,JP,1705731695
94,labytnangi,66.6572,66.4183,-13.76,97,100,3.7,RU,1705731742
95,atafu village,-8.5421,-172.5159,29.49,70,70,6.26,TK,1705731743
96,lubang,13.8584,120.124,27.21,73,6,4.89,PH,1705731745
97,chernyshevsk,52.5243,117.0174,-25.27,90,16,1.19,RU,1705731747
98,xilin hot,43.9667,116.0333,-14.75,82,91,5.42,CN,1705731748
99,kodiak,57.79,-152.4072,2.73,70,0,3.09,US,1705731750
100,udachny,66.4167,112.4,-26.42,82,100,1.64,RU,1705731665
101,ndibene dahra,15.3338,-15.4766,17.02,93,46,4.07,SN,1705731753
102,nova vicosa,-17.8919,-39.3719,25.52,85,94,5.6,BR,1705731755
103,mili,6.0815,171.735,28.0,79,100,7.77,MH,1705731756
104,figueres,42.2664,2.9616,8.72,49,23,3.46,ES,1705731758
105,linqiong,30.4159,103.4609,9.9,83,100,1.33,CN,1705731759
106,isafjordur,66.0755,-23.124,-2.66,81,100,1.73,IS,1705731760
107,igarka,67.4667,86.5833,-17.96,92,100,10.36,RU,1705731762
108,hammerfest,70.6634,23.6821,-4.75,74,40,7.72,NO,1705731764
109,oakdale,44.963,-92.9649,-17.51,73,0,3.09,US,1705731765
